time,h_plus,h_cross,amplitude
1.080000000000e+00,1.304654010894e-22,2.975816512818e-19,2.975816798810e-19
1.090000000000e+00,1.304654263330e-22,2.975816514369e-19,2.975816800361e-19
1.100000000000e+00,1.304654263330e-22,2.975816515919e-19,2.975816801912e-19
1.110000000000e+00,1.304654263330e-22,2.975816517470e-19,2.975816803463e-19
1.120000000000e+00,1.304654263330e-22,2.975816519021e-19,2.975816805014e-19
1.130000000000e+00,1.304654263330e-22,2.975816520572e-19,2.975816806565e-19
1.140000000000e+00,1.304654263330e-22,2.975816522123e-19,2.975816808116e-19
1.150000000000e+00,1.304654263330e-22,2.975816523674e-19,2.975816809666e-19
1.160000000000e+00,1.304654263330e-22,2.975816525225e-19,2.975816811217e-19
1.170000000000e+00,1.304654010894e-22,2.975816526776e-19,2.975816812768e-19
1.180000000000e+00,1.304654010894e-22,2.975816528326e-19,2.975816814319e-19
1.190000000000e+00,1.304654010894e-22,2.975816529877e-19,2.975816815870e-19
1.200000000000e+00,1.304654010894e-22,2.975816531428e-19,2.975816817421e-19
1.210000000000e+00,1.304654263330e-22,2.975816532979e-19,2.975816818972e-19
1.220000000000e+00,1.304654263330e-22,2.975816534530e-19,2.975816820522e-19
1.230000000000e+00,1.304654263330e-22,2.975816536081e-19,2.975816822073e-19
1.240000000000e+00,1.304654263330e-22,2.975816537632e-19,2.975816823624e-19
1.250000000000e+00,1.304654263330e-22,2.975816539183e-19,2.975816825175e-19
1.260000000000e+00,1.304654263330e-22,2.975816540733e-19,2.975816826726e-19
1.270000000000e+00,1.304654263330e-22,2.975816542284e-19,2.975816828277e-19
1.280000000000e+00,1.304654263330e-22,2.975816543835e-19,2.975816829828e-19
1.290000000000e+00,1.304654263330e-22,2.975816545386e-19,2.975816831379e-19
1.300000000000e+00,1.304654263330e-22,2.975816546937e-19,2.975816832929e-19
1.310000000000e+00,1.304654263330e-22,2.975816548488e-19,2.975816834480e-19
1.320000000000e+00,1.304654263330e-22,2.975816550039e-19,2.975816836031e-19
1.330000000000e+00,1.304654010894e-22,2.975816551590e-19,2.975816837582e-19
1.340000000000e+00,1.304654263330e-22,2.975816553140e-19,2.975816839133e-19
1.350000000000e+00,1.304654263330e-22,2.975816554691e-19,2.975816840684e-19
1.360000000000e+00,1.304654263330e-22,2.975816556242e-19,2.975816842235e-19
1.370000000000e+00,1.304654263330e-22,2.975816557793e-19,2.975816843786e-19
1.380000000000e+00,1.304654263330e-22,2.975816559344e-19,2.975816845336e-19
1.390000000000e+00,1.304654263330e-22,2.975816560895e-19,2.975816846887e-19
1.400000000000e+00,1.304654263330e-22,2.975816562446e-19,2.975816848438e-19
1.410000000000e+00,1.304654263330e-22,2.975816563997e-19,2.975816849989e-19
1.420000000000e+00,1.304654263330e-22,2.975816565547e-19,2.975816851540e-19
1.430000000000e+00,1.304654263330e-22,2.975816567098e-19,2.975816853091e-19
1.440000000000e+00,1.304654263330e-22,2.975816568649e-19,2.975816854642e-19
1.450000000000e+00,1.304654263330e-22,2.975816570200e-19,2.975816856193e-19
1.460000000000e+00,1.304654515765e-22,2.975816571751e-19,2.975816857744e-19
1.470000000000e+00,1.304654515765e-22,2.975816573302e-19,2.975816859294e-19
1.480000000000e+00,1.304654515765e-22,2.975816574853e-19,2.975816860845e-19
1.490000000000e+00,1.304654263330e-22,2.975816576403e-19,2.975816862396e-19
1.500000000000e+00,1.304654263330e-22,2.975816577954e-19,2.975816863947e-19
1.510000000000e+00,1.304654263330e-22,2.975816579505e-19,2.975816865498e-19
1.520000000000e+00,1.304654263330e-22,2.975816581056e-19,2.975816867049e-19
1.530000000000e+00,1.304654263330e-22,2.975816582607e-19,2.975816868600e-19
1.540000000000e+00,1.304654263330e-22,2.975816584158e-19,2.975816870150e-19
1.550000000000e+00,1.304654263330e-22,2.975816585709e-19,2.975816871701e-19
1.560000000000e+00,1.304654263330e-22,2.975816587260e-19,2.975816873252e-19
1.570000000000e+00,1.304654263330e-22,2.975816588810e-19,2.975816874803e-19
1.580000000000e+00,1.304654515765e-22,2.975816590361e-19,2.975816876354e-19
1.590000000000e+00,1.304654515765e-22,2.975816591912e-19,2.975816877905e-19
1.600000000000e+00,1.304654515765e-22,2.975816593463e-19,2.975816879456e-19
